,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,SO,W,L,G,SV,H,ER,HR,BB,ERA,WHIP,ERA+,FIP
28,newsobo01,20,1953,0,3,1,4,608,2082,211,222,600,21,3769,1664,206,1732,3.983685050540876,1.463291363716971,101.35669211370406,5.217050718212449
29,craigro01,12,1966,0,0,3,0,368,803,74,98,368,19,1528,653,186,522,3.8253417227164244,1.334345845085702,98.46268872601057,4.126848123237145
30,butchma01,10,1945,0,0,0,0,343,485,95,106,334,9,1935,741,100,583,3.733345773465199,1.4095913416682218,105.09625218269558,4.547512409031536
31,navarja01,12,2000,0,0,0,0,361,1113,116,126,361,2,2313,1078,214,690,4.720402205643853,1.4610768731754784,90.75932046984283,4.426998378203048
32,rawlesh01,12,1989,0,0,0,1,474,991,111,118,469,40,1934,836,153,734,4.020662629141432,1.4257214107588172,96.08266415274313,4.211399358745992
33,tomlida01,13,1986,0,0,0,0,409,278,25,12,409,12,543,217,32,198,3.819426336375489,1.4491525423728813,98.69637143193155,3.608605606258149
34,ackerji01,10,1992,0,0,0,0,467,482,33,49,467,30,918,399,82,329,3.9708809436048655,1.3789163287873203,97.7216719609229,4.954924806487283
35,sutclri01,18,1994,0,8,0,3,466,1679,171,139,457,6,2662,1223,236,1081,4.0801927591745955,1.3874953663659952,95.45889775797491,4.184724082540467
36,burgmto01,17,1984,0,0,0,1,793,584,79,55,745,102,1231,452,94,384,3.231991525423729,1.283103813559322,114.18349385317359,3.6568424258474566
37,moorera02,11,1963,0,0,0,0,365,612,63,59,365,46,935,484,101,560,4.060907395898074,1.3937228091982599,95.36571521419363,4.354480111870727
38,hawkian01,10,1991,0,0,0,0,280,706,84,91,280,0,1574,731,152,612,4.221818181818182,1.4027807486631017,92.19209170792035,4.548875935828877
39,tekulke01,16,1989,0,0,1,1,1052,779,94,90,1050,184,1305,455,63,491,2.8503480278422275,1.2501160092807424,134.29126748398326,3.40422505800464
40,bonhabi01,10,1980,0,0,0,0,307,985,75,83,300,11,1512,662,98,636,4.005826983415509,1.4441954280591662,92.21679727275607,3.5028857014791575
41,mccaski01,12,1996,0,0,0,0,381,1003,106,108,380,7,1748,791,154,665,4.117408906882591,1.3956043956043955,98.79169997850774,4.041834586466166
42,remlimi01,14,2006,0,0,0,1,642,854,53,55,639,20,784,381,103,430,3.901023890784983,1.3811149032992036,112.44594170767203,4.394083428138036
43,fettemi01,16,2004,0,0,0,0,620,518,31,41,620,100,699,307,62,351,3.855348837209302,1.4651162790697674,111.86792906766044,4.982805116279069
44,chipmbo01,12,1952,0,0,0,0,295,322,51,46,293,14,889,364,60,386,3.719909159727479,1.44776684330053,101.88115837965256,4.493799772899319
45,richepe01,13,1974,0,0,1,2,446,925,80,73,429,51,959,413,116,424,3.188733199885616,1.1864455247354875,110.94320679151501,3.845658850443237
46,daussho01,15,1926,0,0,0,0,544,1201,222,182,538,40,3407,1245,87,1067,3.3046598505701925,1.319504522217853,102.6590319975567,3.3260337200157295
