,playerID,Seasons,Last_season,HoF,Awards,WS_titles,allstars,appearances,G,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS+,wOBA
52,kluszte01,15,1961,0,3,0,4,1739,1718,848,1766,279,1028,20,492,0.29785798616967446,0.3525502318392581,0.29785798616967446,135.17780661118994,0.3970800375175863
53,hayesja02,14,1940,0,0,0,0,1098,1091,494,1069,20,493,34,309,0.2646039603960396,0.31022142697383137,0.2646039603960396,78.55911398296875,0.3095757228086279
54,lemasjo01,12,1987,0,0,0,0,1068,1039,320,709,22,229,94,241,0.22218740206831714,0.27226173541963017,0.22218740206831714,59.0575509528807,0.27372259573224206
55,stahlch01,10,1906,0,0,1,0,1296,1304,858,1546,36,622,189,470,0.30499112250937066,0.3608337712383955,0.30499112250937066,135.29915340525525,0.3746562779867455
56,webbsk01,12,1948,0,0,1,0,704,699,216,498,3,166,33,132,0.21899736147757257,0.25805136567468406,0.21899736147757257,48.75181722426376,0.2538667496886675
57,braunst01,15,1985,0,0,1,0,1544,1425,466,989,52,388,45,579,0.27095890410958906,0.3690337601862631,0.27095890410958906,111.84964315601009,0.372176220806794
58,tobinja01,13,1927,0,0,0,0,1603,1619,936,1906,64,581,147,508,0.3087139617751863,0.35550058207217694,0.3087139617751863,124.5349758103373,0.3800546863358664
59,mccorba01,10,1904,0,0,0,0,992,989,433,867,15,417,130,280,0.23786008230452674,0.2908910399602879,0.23786008230452674,73.66469493068992,0.3226962025316456
60,cravaga01,11,1920,0,2,0,0,1203,1220,575,1134,119,719,89,561,0.2870159453302961,0.3709364908503768,0.2870159453302961,162.0464443789263,0.41497621145374447
61,roberbi01,12,1998,0,0,0,1,1353,1202,663,1220,30,352,264,396,0.29418857005063903,0.3554307924854243,0.29418857005063903,103.35127092647328,0.3920937840785169
62,bellde01,11,2001,0,0,1,0,1226,1210,642,1262,134,668,170,377,0.27566622979467015,0.3354380426203631,0.27566622979467015,101.9951598834516,0.3364399841017488
63,dailyco01,12,1896,0,0,0,0,634,628,280,541,2,262,94,208,0.24435411020776873,0.31390134529147984,0.24435411020776873,79.13995273791792,0.30279492427343435
